,diapostagem,hora,nomeBike,precoBike,cidade,bairro,urlBike
0,5 dez,12:38,Bike Fixa RAF Sprinter (troco por MTB 29),3000.0,São Paulo, Jardim Marabá - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-raf-sprinter-troco-por-mtb-29-965382970
1,16 nov,22:43,"Aros 40mm originais da Raf. Fixa, fixed gear, fixie, speed, pinhão fixo.   ",400.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/aros-40mm-originais-da-raf-fixa-fixed-gear-fixie-speed-pinhao-fixo-957665673
2,,,,,,,
3,,,,,,,
4,14 nov,23:32,Bicicleta Fixa Miyamura 52/53,2300.0,São Paulo, Cerqueira César - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-miyamura-52-53-956889618
5,8 nov,21:17,Bike fixa Statecycle ,2650.0,São Paulo, Ipiranga - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-statecycle-954352170
6,8 nov,09:22,"Bike Fixa/Roda Livre RAF, aro 30mm, quadro em cromoly 54/56",1450.0,Jales, Jardim Pêgolo - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bike-fixa-roda-livre-raf-aro-30mm-quadro-em-cromoly-54-56-954013211
7,,,,,,,
8,7 nov,11:34,Bicicleta single speed Raf Bikes,1600.0,Campinas, Vila Aeroporto III - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-single-speed-raf-bikes-953759877
0,6 nov,18:44,Quadro e garfo fixa 8Bike TAM 53,776.0,São Paulo, Jardim Paulista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-e-garfo-fixa-8bike-tam-53-953621087
0,6 nov,18:44,Quadro e garfo fixa 8Bike TAM 53,776.0,São Paulo, Jardim Paulista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-e-garfo-fixa-8bike-tam-53-953621087
0,Ontem,12:31,SUPORTE PARA SMARTPHONE 360 GRAUS. ,30.0,Araçatuba, TV - DDD 18,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/suporte-para-smartphone-360-graus-965684449
1,5 dez,21:01,bicicleta vintage ícaro - Echo Vintage,1500.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-vintage-icaro-echo-vintage-942890092
2,,,,,,,
3,,,,,,,
4,5 dez,19:46,Bicicleta chopper aceito troca,2000.0,São Paulo, Cangaíba - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-chopper-aceito-troca-965487278
5,2 dez,15:33,Bike urbana 26  Shimano Nexus 8 ,1900.0,Sorocaba, Vila Assis - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bike-urbana-26-shimano-nexus-8-964418794
6,1 dez,22:15,Bicicleta elétrica Sense Wind,2999.0,Campinas, Loteamento Country Ville - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-eletrica-sense-wind-964081479
7,,,,,,,
8,1 dez,21:01,Suporte de Celular com Rotação 360 para Guidão de Bicicleta/Moto .,35.0,Araçatuba, TV - DDD 18,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/suporte-de-celular-com-rotacao-360-para-guidao-de-bicicleta-moto-944151728
9,29 nov,16:00,Bicicleta Retro Beach Feminina Aro 26 3 Marchas Customizada Único Dono Bom Estado,750.0,São José dos Campos, Jardim das Indústrias - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-retro-beach-feminina-aro-26-3-marchas-customizada-unico-dono-bom-estado-962856717
10,27 nov,10:46,Bicicleta Urbana Vintage Kayoba Semi-Nova,1499.0,São Paulo, Vila Buarque - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-urbana-vintage-kayoba-semi-nova-959498182
11,27 nov,10:14,Bicicleta eletrica sense 250 watts  36volts,3990.0,São Bernardo do Campo, Anchieta - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-sense-250-watts-36volts-962142622
12,25 nov,11:02,Bicicleta Dobrável Fenix Black com Farol e Campainha - Kit Marcha Shimano - 6 Velocidades,1699.0,São Paulo, Belenzinho - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-dobravel-fenix-black-com-farol-e-campainha-kit-marcha-shimano-6-velocidades-961309966
13,,,,,,,
14,25 nov,09:56,Bicicleta Dobrável Fenix Green com Farol e Campainha - Kit Marcha Shimano - 6 Velocidades,1699.0,São Paulo, Belenzinho - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-dobravel-fenix-green-com-farol-e-campainha-kit-marcha-shimano-6-velocidades-961276540
15,24 nov,14:32,Manete maçaneta para bicicleta shimano,65.0,São Paulo, Alto da Lapa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/manete-macaneta-para-bicicleta-shimano-960937370
16,24 nov,14:27,Freio Nexus Shimano ,190.0,São Paulo, Alto da Lapa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/freio-nexus-shimano-960933989
17,18 nov,13:01,Kit Nexus Inter 3 P/ V-brake Completo 3v Cubo Marcha Interna,300.0,Santos, Castelo - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/kit-nexus-inter-3-p-v-brake-completo-3v-cubo-marcha-interna-939012895
18,15 nov,20:01,"Bicicleta importada Niver cruiser Handinade 26"" 3 Vel tipo chopper totalmente revisado.",3600.0,Santo André, Vila Gilda - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-importada-niver-cruiser-handinade-26-3-vel-tipo-chopper-totalmente-revisado-937452944
19,10 nov,18:20,Bike Feminina Aro 24 Trocador Shimano ,799.0,Campinas, Swiss Park - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-feminina-aro-24-trocador-shimano-884174413
20,10 nov,14:56,Bike Vicinitech V7,3200.0,São Paulo, Nossa Senhora do Ó - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-vicinitech-v7-955151735
